code,group,method,pDockQ,ppv,probable interaction?
NEGATIVE04,negative,omegafold,0.12450962845525924,0.70615739,no
NEGATIVE05,negative,omegafold,0.02274707869408934,0.55890174,no
NEGATIVE09,negative,omegafold,0.021061436071453245,0.55890174,no
NEGATIVE10,negative,omegafold,0,0,no
NEGATIVE11,negative,omegafold,0.021412500424515778,0.55890174,no
NEGATIVE12,negative,omegafold,0.018258893561979524,0.55890174,no
NEGATIVE13,negative,omegafold,0,0,no
NEGATIVE14,negative,omegafold,0,0,no
NEGATIVE15,negative,omegafold,0.021322325947952227,0.55890174,no
NEGATIVE18,negative,omegafold,0.019229777332659754,0.55890174,no
NEGATIVEH01,negative,omegafold,0.018258893561979524,0.55890174,no
NEGATIVEH02,negative,omegafold,0.018616828203052965,0.55890174,no
NEGATIVEH05,negative,omegafold,0.01844964715994521,0.55890174,no
NEGATIVEH06,negative,omegafold,0.01900194828520771,0.55890174,no
NEGATIVEH08,negative,omegafold,0.020506885059882216,0.55890174,no
NEGATIVEH11,negative,omegafold,0.018258893561979524,0.55890174,no
NEGATIVEH12,negative,omegafold,0.01898419244958761,0.55890174,no
NEGATIVEH13,negative,omegafold,0.01878099032047774,0.55890174,no
NEGATIVEH14,negative,omegafold,0,0,no
NEGATIVEH19,negative,omegafold,0.07504233593123606,0.66728511,no
6TKC,positive,omegafold,0.6584846635221513,0.98128027,yes
6WRP,positive,omegafold,0.6628605681692937,0.98128027,yes
6WUD,positive,omegafold,0.13468757416504035,0.70615739,no
6WX1,positive,omegafold,0.6708479728615279,0.98128027,yes
6X28,positive,omegafold,0.4496110464628514,0.88570037,yes
6XOD,positive,omegafold,0.4148718287472041,0.87116417,yes
6ZBK,positive,omegafold,0.15484810185327985,0.73044282,no
6ZH1,positive,omegafold,0.02342393903090397,0.55890174,no
6ZWA,positive,omegafold,0.6241651905485501,0.9400192,yes
7ANQ,positive,omegafold,0.0393931408234274,0.63555449,no
7B0W,positive,omegafold,0.5556233360887552,0.91629946,yes
7EJO,positive,omegafold,0.02030588162179288,0.55890174,no
7EOW,positive,omegafold,0.05152556359131516,0.63555449,no
7F4Q,positive,omegafold,0.21844265364200058,0.75941223,no
7FDO,positive,omegafold,0,0,no
7JOD,positive,omegafold,0.028224646982093895,0.55890174,no
7KKH,positive,omegafold,0.6732368748557028,0.98128027,yes
7KP1,positive,omegafold,0.5376066438368965,0.90952562,yes
7RYL,positive,omegafold,0.35959590141274655,0.84294946,yes
7SH4,positive,omegafold,0.5499060961695174,0.91629946,yes
