code,group,method,pDockQ,ppv,probable interaction?
NEGATIVE04,negative,colabfold,0.1563002421040647,0.73044282,no
NEGATIVE05,negative,colabfold,0.018638512907890224,0.55890174,no
NEGATIVE09,negative,colabfold,0.025817864246872154,0.55890174,no
NEGATIVE10,negative,colabfold,0.06425365189503941,0.63555449,no
NEGATIVE11,negative,colabfold,0.05656267807314996,0.63555449,no
NEGATIVE12,negative,colabfold,0.06668683385238525,0.63555449,no
NEGATIVE13,negative,colabfold,0.06110205289875756,0.63555449,no
NEGATIVE14,negative,colabfold,0.048930135220403875,0.63555449,no
NEGATIVE15,negative,colabfold,0,0,no
NEGATIVE18,negative,colabfold,0.027491170861997705,0.55890174,no
NEGATIVE20,negative,colabfold,0,0,no
NEGATIVE21,negative,colabfold,0.059659522275788926,0.63555449,no
NEGATIVEH01,negative,colabfold,0.3229168077492753,0.82238224,yes
NEGATIVEH02,negative,colabfold,0.045787942306190973,0.63555449,no
NEGATIVEH05,negative,colabfold,0.022993521507073702,0.55890174,no
NEGATIVEH06,negative,colabfold,0.02924458476376112,0.55890174,no
NEGATIVEH08,negative,colabfold,0.32392971821117855,0.82238224,yes
NEGATIVEH11,negative,colabfold,0.028362335311660377,0.55890174,no
NEGATIVEH12,negative,colabfold,0.02237140157447249,0.55890174,no
NEGATIVEH13,negative,colabfold,0.02540944507984832,0.55890174,no
NEGATIVEH14,negative,colabfold,0.020542701150809303,0.55890174,no
NEGATIVEH19,negative,colabfold,0.11080249971734324,0.68635536,no
6TKC,positive,colabaf,0.6844836659171196,0.98128027,yes
6WRP,positive,colabaf,0.6854398639801551,0.98128027,yes
6WUD,positive,colabaf,0.6505209233888746,0.96322524,yes
6WX1,positive,colabaf,0.6884056613913055,0.98128027,yes
6X28,positive,colabaf,0.33769550906486473,0.83367787,yes
6XOD,positive,colabaf,0.49491813522878586,0.8919553,yes
6ZBK,positive,colabaf,0.43422319146487337,0.87822061,yes
6ZH1,positive,colabaf,0.47770605144626743,0.8919553,yes
6ZWA,positive,colabaf,0.7183990440856544,0.98128027,yes
7ANQ,positive,colabaf,0.1089667700663773,0.68635536,no
7B0W,positive,colabaf,0.6270689495136134,0.95333044,yes
7EJO,positive,colabaf,0.31737589832099145,0.82238224,yes
7EOW,positive,colabaf,0.08701542785825338,0.66728511,no
7F4Q,positive,colabaf,0.6608611218931276,0.98128027,yes
7FDO,positive,colabaf,0.3326415814771107,0.83367787,yes
7JOD,positive,colabaf,0.5728969118977587,0.92420274,yes
7KKH,positive,colabaf,0.6813690261083679,0.98128027,yes
7KP1,positive,colabaf,0.5804872985747354,0.92420274,yes
7RYL,positive,colabaf,0.6583171116561864,0.98128027,yes
7SH4,positive,colabaf,0.594405319839875,0.93172991,yes
6TKC,positive,omegafold,0.6584846635221513,0.98128027,yes
6WRP,positive,omegafold,0.6628605681692937,0.98128027,yes
6WUD,positive,omegafold,0.13468757416504035,0.70615739,no
6WX1,positive,omegafold,0.6708479728615279,0.98128027,yes
6X28,positive,omegafold,0.4496110464628514,0.88570037,yes
6XOD,positive,omegafold,0.4148718287472041,0.87116417,yes
6ZBK,positive,omegafold,0.15484810185327985,0.73044282,no
6ZH1,positive,omegafold,0.02342393903090397,0.55890174,no
6ZWA,positive,omegafold,0.6241651905485501,0.9400192,yes
7ANQ,positive,omegafold,0.0393931408234274,0.63555449,no
7B0W,positive,omegafold,0.5556233360887552,0.91629946,yes
7EJO,positive,omegafold,0.02030588162179288,0.55890174,no
7EOW,positive,omegafold,0.05152556359131516,0.63555449,no
7F4Q,positive,omegafold,0.21844265364200058,0.75941223,no
7FDO,positive,omegafold,0,0,no
7JOD,positive,omegafold,0.028224646982093895,0.55890174,no
7KKH,positive,omegafold,0.6732368748557028,0.98128027,yes
7KP1,positive,omegafold,0.5376066438368965,0.90952562,yes
7RYL,positive,omegafold,0.35959590141274655,0.84294946,yes
7SH4,positive,omegafold,0.5499060961695174,0.91629946,yes
6TKC,positive,alphafold,0.6782812489326063,0.98128027,yes
6WRP,positive,alphafold,0.6755225278956004,0.98128027,yes
6WUD,positive,alphafold,0.6437032038599959,0.96322524,yes
6WX1,positive,alphafold,0.6905374054436192,0.98128027,yes
6X28,positive,alphafold,0.3782757175412179,0.85453785,yes
6XOD,positive,alphafold,0.49857602653901906,0.90043139,yes
6ZBK,positive,alphafold,0.4524375106739226,0.88570037,yes
6ZH1,positive,alphafold,0.37006962532229676,0.85453785,yes
6ZWA,positive,alphafold,0.7076215966830172,0.98128027,yes
7ANQ,positive,alphafold,0.05247574008971789,0.63555449,no
7B0W,positive,alphafold,0.6104121794615871,0.9400192,yes
7EJO,positive,alphafold,0.4104984262219312,0.87116417,yes
7EOW,positive,alphafold,0.060917586418939795,0.63555449,no
7F4Q,positive,alphafold,0.6414777871284179,0.96322524,yes
7FDO,positive,alphafold,0.39453417033135185,0.86040801,yes
7JOD,positive,alphafold,0.5717867065583568,0.92420274,yes
7KKH,positive,alphafold,0.6789531533929954,0.98128027,yes
7KP1,positive,alphafold,0.5917175322511755,0.93172991,yes
7RYL,positive,alphafold,0.6623436452549574,0.98128027,yes
7SH4,positive,alphafold,0.6050444504766569,0.9400192,yes
