code,group,method,pDockQ,ppv,probable interaction?
NEGATIVE04,negative,colabfold,0.1563002421040647,0.73044282,no
NEGATIVE05,negative,colabfold,0.018638512907890224,0.55890174,no
NEGATIVE09,negative,colabfold,0.025817864246872154,0.55890174,no
NEGATIVE10,negative,colabfold,0.06425365189503941,0.63555449,no
NEGATIVE11,negative,colabfold,0.05656267807314996,0.63555449,no
NEGATIVE12,negative,colabfold,0.06668683385238525,0.63555449,no
NEGATIVE13,negative,colabfold,0.06110205289875756,0.63555449,no
NEGATIVE14,negative,colabfold,0.048930135220403875,0.63555449,no
NEGATIVE15,negative,colabfold,0,0,no
NEGATIVE18,negative,colabfold,0.027491170861997705,0.55890174,no
NEGATIVE20,negative,colabfold,0,0,no
NEGATIVE21,negative,colabfold,0.059659522275788926,0.63555449,no
NEGATIVEH01,negative,colabfold,0.3229168077492753,0.82238224,yes
NEGATIVEH02,negative,colabfold,0.045787942306190973,0.63555449,no
NEGATIVEH05,negative,colabfold,0.022993521507073702,0.55890174,no
NEGATIVEH06,negative,colabfold,0.02924458476376112,0.55890174,no
NEGATIVEH08,negative,colabfold,0.32392971821117855,0.82238224,yes
NEGATIVEH11,negative,colabfold,0.028362335311660377,0.55890174,no
NEGATIVEH12,negative,colabfold,0.02237140157447249,0.55890174,no
NEGATIVEH13,negative,colabfold,0.02540944507984832,0.55890174,no
NEGATIVEH14,negative,colabfold,0.020542701150809303,0.55890174,no
NEGATIVEH19,negative,colabfold,0.11080249971734324,0.68635536,no
NEGATIVEH21,negative,colabfold,0.49256662100007553,0.8919553,yes
NEGATIVEH22,negative,colabfold,0.3722320342242365,0.85453785,yes
6TKC,positive,colabfold,0.6844836659171196,0.98128027,yes
6WRP,positive,colabfold,0.6854398639801551,0.98128027,yes
6WUD,positive,colabfold,0.6505209233888746,0.96322524,yes
6WX1,positive,colabfold,0.6884056613913055,0.98128027,yes
6X28,positive,colabfold,0.33769550906486473,0.83367787,yes
6XOD,positive,colabfold,0.49491813522878586,0.8919553,yes
6ZBK,positive,colabfold,0.43422319146487337,0.87822061,yes
6ZH1,positive,colabfold,0.47770605144626743,0.8919553,yes
6ZWA,positive,colabfold,0.7183990440856544,0.98128027,yes
7ANQ,positive,colabfold,0.1089667700663773,0.68635536,no
7B0W,positive,colabfold,0.6270689495136134,0.95333044,yes
7EJO,positive,colabfold,0.31737589832099145,0.82238224,yes
7EOW,positive,colabfold,0.08701542785825338,0.66728511,no
7F4Q,positive,colabfold,0.6608611218931276,0.98128027,yes
7FDO,positive,colabfold,0.3326415814771107,0.83367787,yes
7JOD,positive,colabfold,0.5728969118977587,0.92420274,yes
7KKH,positive,colabfold,0.6813690261083679,0.98128027,yes
7KP1,positive,colabfold,0.5804872985747354,0.92420274,yes
7RYL,positive,colabfold,0.6583171116561864,0.98128027,yes
7SH4,positive,colabfold,0.594405319839875,0.93172991,yes
