code,group,method,pDockQ,ppv,probable interaction?
6WRP,positive,old,0.6854398639801551,0.98128027,yes
6WX1,positive,old,0.6884056613913055,0.98128027,yes
6YXF,positive,old,0.02788586737370494,0.55890174,no
6YXG,positive,old,0.1450903041210659,0.71391784,no
6ZE1,positive,old,0.22410768151488886,0.77766077,no
6ZEC,positive,old,0.6918668938112167,0.98128027,yes
6ZH1,positive,old,0.47770605144626743,0.8919553,yes
7F15,positive,old,0.07989905041618187,0.66728511,no
7JOD,positive,old,0.5728969118977587,0.92420274,yes
7KK4,positive,old,0.6813690261083679,0.98128027,yes
7KP1,positive,old,0.5804872985747354,0.92420274,yes
7N04,positive,old,0.6766999030066034,0.98128027,yes
7N1J,positive,old,0.4744750741799649,0.88570037,yes
AF192,positive,old,0.18988219554320176,0.74006263,no
AF214,positive,old,0.3823626726242221,0.85453785,yes
AF235,positive,old,0.5914457246495602,0.93172991,yes
AF236,positive,old,0.5880208878085212,0.93172991,yes
AF304,positive,old,0.5148311951262808,0.90043139,yes
