code,group,method,pDockQ,ppv,probable interaction?
4UB8,positive,extras,0.042590405449197594,0.63555449,no
4UB8,positive,extras,0.025993600406325527,0.55890174,no
POSITIVE01,positive,extras,0.613185673214871,0.9400192,yes
POSITIVE02,positive,extras,0.0679209509424854,0.63555449,no
POSITIVE03,positive,extras,0.5226833531071929,0.90043139,yes
POSITIVE05,positive,extras,0.34759840281309584,0.84294946,yes
POSITIVE08,positive,extras,0.16448131915756464,0.73044282,no
POSITIVE10,positive,extras,0.07603874555231077,0.66728511,no
POSITIVE120,positive,extras,0.6348169747789771,0.96322524,yes
POSITIVE12,positive,extras,0.19160481697849754,0.74006263,no
POSITIVE149,positive,extras,0.20115697142876496,0.75941223,no
POSITIVE186,positive,extras,0.06626768168660573,0.63555449,no
POSITIVE198,positive,extras,0.10001998953827049,0.68635536,no
POSITIVE19,positive,extras,0.025993600406325527,0.55890174,no
POSITIVE20,positive,extras,0.217393583717348,0.75941223,no
POSITIVE21,positive,extras,0.042590405449197594,0.63555449,no
POSITIVE224,positive,extras,0.037970594337031274,0.63555449,no
POSITIVE225,positive,extras,0.448040664683797,0.88570037,yes
POSITIVE23,positive,extras,0.03991065195365229,0.63555449,no
POSITIVE24,positive,extras,0.07026756365268368,0.66728511,no
POSITIVE65,positive,extras,0.30444647928523677,0.81190228,yes
